file_last_modified_date,delivery_code_ref,orga_name,orga_code_ref,file_name,url,study_name,study_code_ref,delivery_name
"2024-12-09T14:21:07.151969+01:00","INVA-1080-7958","Invattur","INVA","Sevilla Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Sevilla Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:46.535243+01:00","INVA-1080-7958","Invattur","INVA","Alicante Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Alicante Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:58.563667+01:00","INVA-1080-7958","Invattur","INVA","Calvia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Calvia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:38.606964+01:00","INVA-1080-7958","Invattur","INVA","Torremolinos Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Torremolinos Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:21:09.272044+01:00","INVA-1080-7958","Invattur","INVA","Valencia Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Valencia Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:22.774406+01:00","INVA-1080-7958","Invattur","INVA","Sitges Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Sitges Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:31.494713+01:00","INVA-1080-7958","Invattur","INVA","Benidorm Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Benidorm Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-08-23T14:47:06.768530+02:00","INVA-1080-7420","Invattur","INVA","Valencia Comunidad Autonoma.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Valencia Comunidad Autonoma.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:55.132095+02:00","INVA-1080-7420","Invattur","INVA","Gandia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Gandia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:40.047531+02:00","INVA-1080-7420","Invattur","INVA","Alicante Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Alicante Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:47:16.488894+02:00","INVA-1080-7420","Invattur","INVA","Valencia Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Valencia Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:45.111720+02:00","INVA-1080-7420","Invattur","INVA","Elche.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Elche.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:38.259464+02:00","INVA-1080-7420","Invattur","INVA","Alicante Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Alicante Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:46.799783+02:00","INVA-1080-7420","Invattur","INVA","Calpe Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Calpe Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:47:10.376665+02:00","INVA-1080-7420","Invattur","INVA","Valencia Playa.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Valencia Playa.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:30.647180+02:00","INVA-1080-7420","Invattur","INVA","Malaga Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Malaga Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:21.022820+02:00","INVA-1080-7420","Invattur","INVA","Castellon Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Castellon Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:50.431919+02:00","INVA-1080-7420","Invattur","INVA","Adeje - Arona Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Adeje - Arona Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:48.495847+02:00","INVA-1080-7420","Invattur","INVA","San Bartolome de Tirajana Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/San Bartolome de Tirajana Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:28.423096+02:00","INVA-1080-7420","Invattur","INVA","Valencia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Valencia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:24.822962+02:00","INVA-1080-7420","Invattur","INVA","Castellon Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Castellon Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
"2024-08-23T14:46:56.920162+02:00","INVA-1080-7420","Invattur","INVA","Torrevieja Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7420/Torrevieja Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","4. Junio - Julio 2024"
