DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2018,1937463
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2019,2232523
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2020,628971
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2021,944810
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2022,2031039
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES001C,2023,2636444
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2018,3273722
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2019,3481738
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2020,868776
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2021,1245462
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2022,2725487
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES002C,2023,3331301
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2018,965479
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2019,1116506
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2020,310314
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2021,523986
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2022,1093361
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES003C,2023,1400498
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2018,811408
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2019,1027756
