CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LOAD_TIME
HPA,3066,Ha'Apai,TO,,Tonga,TON,OCEA,,Oceania,OC,Oceania,1,-20.545003,-175.390702,
HPB,3067,Hooper Bay,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,61.52954,-166.10875,
HPE,3068,Hope Vale,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-15.1369525,145.1995652,
HPG,3069,Hongping,CN,CNHUB,China,CHN,NEAS,Hubei,North East Asia,AS,Asia,1,27.587,108.778,
HPH,3070,Haiphong,VN,,Vietnam,VNM,SEAS,,South East Asia,AS,Asia,1,20.858864,106.6749591,
HPN,3071,Westchester County,US,US_NY,U.S.A.,USA,NAME,New York,North America,AM,America,1,41.15165,-73.75333,
HPT,3072,Hampton,US,US_IA,U.S.A.,USA,NAME,Iowa,North America,AM,America,1,42.74173,-93.21158,
LIH,3073,Kauai Island,US,US_HI,U.S.A.,USA,NAME,Hawaii,North America,AM,America,1,25.9279,-81.69851,
HPY,3074,Baytown,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,29.72871,-94.99636,
HQL,3075,Tashkurgan,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,37.7708167,75.2280894,
HQM,3076,Hoquiam,US,US_WA,U.S.A.,USA,NAME,Washington,North America,AM,America,1,46.97982,-123.88689,
HRC,3077,Zhairem,KZ,,Kazakhstan,KAZ,EEUR,,Central/Eastern Europe,EU,Europe,1,48.28942,70.2048,
HRE,3078,Harare,ZW,,Zimbabwe,ZWE,SAFR,,Subsaharan Africa,AF,Africa,1,-17.831773,31.045686,
HRF,3079,Hoarafushi,MV,,Maldives,MDV,SASI,,South Asia,AS,Asia,1,6.9826669,72.89588181,
HRG,3080,Hurghada,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,27.222556,33.8307062,
HRH,3081,Mnichovo Hradiste,CZ,,Czech Republic,CZE,EEUR,,Central/Eastern Europe,EU,Europe,1,50.5229864,14.9741022,
HRK,3082,Kharkov,UA,,Ukraine,UKR,EEUR,,Central/Eastern Europe,EU,Europe,1,49.9923181,36.2310146,
HRL,3083,Harlingen,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,26.18986,-97.69555,
